-1 1 4873
-2 1 null
-1 2 4679
-2 2 null
1 1 conf/sigmod/IlyasRLGL03·3446
1 2 ramanan·2011
2 1 conf/sigmod/ChoSG00·2723
2 2 álvarez·4497
3 1 872838·2000
3 2 fukuda·1055
4 1 conf/vldb/ChungCLL01·4862
4 2 harpreet·3242
5 1 journals/sigmod/ArenasKKKMM03·4134
5 2 dehmel·747
6 1 872837·2005
6 2 hall·3476
7 1 872835·2006
7 2 weidong·2270
8 1 conf/sigmod/AbiteboulBCMM03·2767
8 2 exarkhopoulo·45
9 1 872832·2004
9 2 novaretti·4056
10 1 872833·2003
10 2 ted·2547
11 1 conf/vldb/SeegerBBKSDS01·4361
11 2 kolahdouzan·2971
12 1 conf/sigmod/Grust02·4365
12 2 sawhney·3243
13 1 872831·2056
13 2 cemal·3189
14 1 conf/vldb/HuebschHLLSS03·4320
14 2 kiran·3836
15 1 journals/sigmod/Chang03·2708
15 2 pick·2531
16 1 journals/sigmod/YuenCLL00·3539
16 2 antonia·4286
17 1 journals/tods/GhandeharizadehHJ96·3628
17 2 sheung·3490
18 1 306105·15
18 2 ishwar·3597
19 1 conf/vldb/ParkMC02·2849
19 2 tei·1360
20 1 306102·13
20 2 halal·3712
21 1 conf/vldb/GoodmanRS94·4360
21 2 wedemeijer·1719
22 1 306103·14
22 2 ghemawat·3846
23 1 872829·2055
23 2 ten·4417
24 1 conf/sigmod/LiVCAHMWBCHIKSS99·3456
24 2 halici·1039
25 1 conf/sigmod/Faloutsos95·4782
25 2 teo·4426
26 1 306109·16
26 2 printezis·3773
27 1 872828·2058
27 2 ohori·3823
28 1 872825·2060
28 2 mulchandani·2082
29 1 872826·2057
29 2 yukiyoshi·236
30 1 872823·2059
30 2 seligman·566
31 1 872821·2061
31 2 gonzalo·1422
32 1 conf/vldb/RamanH01·4539
32 2 eick·3770
33 1 872822·2062
33 2 marrón·4082
34 1 conf/vldb/Hallmark95·3526
34 2 antonio·419
35 1 872820·2048
35 2 agarwal·1190
36 1 conf/vldb/ShethKMWDLPLS96·3133
36 2 brodsky·37
37 1 conf/sigmod/GibbonsM98·4480
37 2 arturo·2774
38 1 conf/vldb/AgrawalK02·4037
38 2 kostamaa·1122
39 1 306115·10
39 2 stokrp·1009
40 1 conf/sigmod/MumickP94·2622
40 2 aristides·408
41 1 conf/vldb/TreschPL95·3321
41 2 moore·1835
42 1 conf/sigmod/FaloutsosRM94·2613
42 2 ryoji·3148
43 1 306112·9
43 2 güting·448
44 1 672368·1352
44 2 kirby·2659
45 1 672369·1353
45 2 object·3532
46 1 671033·967
46 2 spence·3774
47 1 672364·1348
47 2 riedel·529
48 1 672365·1349
48 2 rolf·3275
49 1 672366·1350
49 2 kuo·1361
50 1 672367·1351
50 2 kun·1734
51 1 872859·2021
51 2 cliff·2235
52 1 872856·2019
52 2 jayen·1838
53 1 conf/sigmod/BeyerR99·4155
53 2 cem·1052
54 1 872857·2020
54 2 takahiko·3655
55 1 872854·2010
55 2 divyakant·216
56 1 872855·2009
56 2 gösta·4524
57 1 872852·2007
57 2 shukla·1441
58 1 331992·83
58 2 hans·379
59 1 872851·2008
59 2 hasselbring·468
60 1 conf/vldb/ChakrabartiM00·3842
60 2 yixiu·3613
61 1 872860·2022
61 2 ozcan·1045
62 1 conf/vldb/EicklerKK97·2353
62 2 fereidoon·1313
63 1 conf/vldb/HammadFAE03·4789
63 2 watts·2448
64 1 672371·2184
64 2 binto·2570
65 1 672372·2178
65 2 towsley·1396
66 1 672373·2180
66 2 kirsch·2991
67 1 672374·2174
67 2 yixin·4072
68 1 conf/sigmod/KiepuszewskiMO98·3678
68 2 kilian·4218
69 1 conf/sigmod/BersonGM95·4498
69 2 flip·424
70 1 conf/vldb/BernsteinPS99·4264
70 2 krithi·928
71 1 672370·2182
71 2 a·44
72 1 872849·2013
72 2 b·241
73 1 672375·2176
73 2 kannan·4134
74 1 331989·84
74 2 c·203
75 1 672376·2170
75 2 gargi·4559
76 1 672377·2172
76 2 d·102
77 1 872848·2014
77 2 e·39
78 1 672378·2166
