304586,the,1
304586,wasa2,1
304586,object,1
304586,oriented,1
304586,workflow,1
304586,management,1
304586,system,1
304586,gottfried,1
304586,vossen,1
304586,mathias,1
304586,weske,1
304587,a,1
304587,user,1
304587,centered,1
304587,interface,1
304587,for,1
304587,querying,1
304587,distributed,1
304587,multimedia,1
304587,databases,1
304587,isabel,1
304587,f,1
304587,cruz,1
304587,kimberly,1
304587,m,1
304587,james,1
304589,world,1
304589,wide,1
304589,database,1
304589,integrating,1
304589,the,1
304589,web,1
304589,corba,1
304589,and,1
304589,databases,1
304589,athman,1
304589,bouguettaya,1
304589,boualem,1
304589,benatallah,1
304589,lily,1
304589,hendra,1
304589,james,1
304589,beard,1
304589,kevin,1
304589,smith,1
304589,mourad,1
304589,quzzani,1
304590,xml,1
304590,based,1
304590,information,1
304590,mediation,1
304590,with,1
304590,mix,1
304590,chaitan,1
304590,baru,1
304590,amarnath,1
304590,gupta,1
304590,bertram,1
304590,ludäscher,1
304590,richard,1
304590,marciano,1
304590,yannis,1
304590,papakonstantinou,1
304590,pavel,1
304590,velikhov,1
304590,vincent,1
304590,chu,1
304582,the,1
304582,ccube,1
304582,constraint,1
304582,object,1
304582,oriented,1
304582,database,1
304582,system,1
304582,alexander,1
304582,brodsky,1
304582,victor,1
304582,e,1
304582,segal,1
304582,jia,1
304582,chen,1
304582,paval,1
304582,a,1
304582,exarkhopoulo,1
304583,the,1
304583,cornell,1
304583,jaguar,1
304583,project,1
304583,adding,1
304583,mobility,1
304583,to,1
304583,predator,1
304583,phillippe,1
304583,bonnet,1
304583,kyle,1
304583,buza,1
304583,zhiyuan,1
304583,chan,1
304583,victor,1
304583,cheng,1
304583,randolph,1
304583,chung,1
304583,takako,1
304583,hickey,1
304583,ryan,1
304583,kennedy,1
304583,daniel,1
304583,mahashin,1
304583,tobias,1
304583,mayr,1
304583,ivan,1
304583,oprencak,1
304583,praveen,1
304583,seshadri,1
304583,hubert,1
304583,siu,1
304584,the,2
304584,active,1
304584,multisync,1
304584,controller,1
304584,of,1
304584,cubetree,1
304584,storage,1
304584,organization,1
304584,nick,1
304584,roussopoulos,1
304584,yannis,2
304584,kotidis,1
304584,sismanis,1
304585,the,1
304585,jungle,1
304585,database,1
304585,search,1
304585,engine,1
304585,michael,1
304585,böhlen,1
304585,linas,1
304585,bukauskas,1
304585,curtis,1
304585,dyreson,1
306112,adept,1
306112,an,1
306112,agent,1
306112,based,1
306112,approach,1
306112,to,1
306112,business,1
306112,process,1
306112,management,1
306112,n,1
306112,r,1
306112,jennings,1
306112,t,1
306112,j,1
306112,norman,1
306112,p,1
306112,faratin,1
306115,a,1
306115,componentized,1
306115,architecture,1
306115,for,1
306115,dynamic,1
306115,electronic,1
306115,markets,1
306115,benny,1
306115,reich,1
306115,israel,1
306115,ben,1
306115,shaul,1
306119,design,1
306119,and,1
306119,implementation,1
306119,of,1
306119,rmp,1
306119,a,1
306119,virtual,1
306119,electronic,1
306119,market,1
306119,place,1
306119,susanne,1
306119,boll,1
306119,wolfgang,1
306119,klas,1
306119,bernard,1
306119,battaglin,1
306124,discovering,1
306124,internet,1
306124,marketing,1
306124,intelligence,1
306124,through,1
